korname,engname,update,aff,bs,ms,phd,advisor,advisor2,handle,debut,mathgen,mrauthid,scholar,website,thesis,hide
강명주,Myungjoo Kang,,서울대학교 수리과학부,,1986,,,,,1996,36655,655504,,https://www.ncia.snu.ac.kr/general-5-1,A Level Set Approach for the Motion on Soap Bubbles with Curvature Dependent Velocity or Acceleration,
강미현,Mihyun Kang,201201,"TU Graz, Institute of Discrete Mathematics (오스트리아)",,1996,2001,최건호,,41840,2001,171433,718176,9JPhREIAAAAJ,https://www.math.tugraz.at/~kang/,Random walks on a union of finite groups,
강병훈,Byunghoon Kang,201608,University of Lancaster 경제학과 (영국),2002,,,,,,2016,260416,,pqnerA0AAAAJ,https://sites.google.com/site/davidbhkang/,Essays on Nonparametric Inference and Instrument Selection,
강신욱,Sinuk Kang,201503,원광대학교 수학정보통계학부,1999,2004,2011,권길헌,,181562,2011,,1035515,,,Channeled sampling in shift invariant spaces,
강슬기,Seul ki Kang,202406,St. Thomas대학 수학과 (미국),2002,,,,,,2022,,1376695,,https://cas.stthomas.edu/departments/faculty/seul-ki-kang/,,
강철,Chul Kang,,한경대학교 응용수학전공,,1990,1996,김병천,,41823,1996,,609462,,https://www.hknu.ac.kr/hkcommath/2054/subview.do,Higher moments of matrix quadratic form,
강한길,Hankil Kang,202003,단국대학교 경영학부,2004,,,,,,2017,,,,http://www.dankook.ac.kr/web/kor/-173?p_p_id=DeptInfo_WAR_empInfoportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-2&p_p_col_count=1&_DeptInfo_WAR_empInfoportlet_empId=goaNzaSgCHoiVrXN7w0KXw==&_DeptInfo_WAR_empInfoportlet_action=view_message,,
강효상,Hyosang Kang,201702,DGIST 기초학부,2001,,,,,,2011,157321,1225152,,https://klein.dgist.ac.kr/,Cofinite classifying spaces for lattices in R-rank one semisimple,
고관표,Kwan Pyo Ko,,동서대학교 컴퓨터공학전공,,1990,1995,최우진,,41773,1995,,621119,,http://kowon.dongseo.ac.kr/~kpko/,L<sup>p</sup>-Estimation for the gaussian quadratures and numerical application,
고봉균,Bonggyun Ko,201903,전남대학교 통계학과,2007,2011,,,,,2016,,,JgC7MTEAAAAJ,https://natural.jnu.ac.kr/natural/14498/subview.do?enc=Zm5jdDF8QEB8JTJGcHJvZiUyRm5hdHVyYWwlMkY0MTklMkYxOTgzJTJGdmlldy5kbyUzRg==,,
고지훈,Jihoon Goh,202303,부산대학교 경영학과,2011,,,,,,,,,T_8JlLoAAAAJ,,,
곽민석,Minsuk Kwak,201503,한국외국어대학교 수학과,2000,,2011,최우진,,41950,2011,152700,870822,9KAIcAsAAAAJ,https://sites.google.com/site/minsukkwak/,Stochastic optimization problems in financial planning,
곽상훈,Sanghoon Kwak,202503,서울대학교 수학교육과,2013,,,,,,2024,317502,1462701,JhsX8JAAAAAJ,https://www.samkwak.info,,
곽철광,Chulkwang Kwak,202003,이화여자대학교 수학과,,2010,2016,권순식,,222191,2016,245905,1035460,klmPN7sAAAAJ,https://sites.google.com/site/ckkwak84,Study on the low regularity Cauchy problem for fifth-order dispersive equations,
권경윤,Kyung Yoon Kwon,201805,"University of Strathclyde, Dept. of Accounting and Finance (스코틀랜드)",2005,,,,,,2017,,,8uMdqZoAAAAJ,https://pureportal.strath.ac.uk/en/persons/kyung-yoon-kwon,,
권상훈,Sanghoon Kwon,201809,가톨릭관동대학교 수학교육과,2006,,,,,,2016,206688,1234331,,https://www.cku.ac.kr/math/928/subview.do,Dynamics on Lie groups over local fields and its applications,
권순학,Soonhak Kwon,199803,성균관대학교 수학과,1986,,,,,,1997,88969,610134,DO-vDKQAAAAJ,https://cscience.skku.edu/cscience/intro/faculty_math.do?mode=view&perId=LZStrI4TwzADg6hBeCaAnAwgYwIwFcDmBnAqgEoD0AMgCzACKAvDUA &,On Torsion Subgroups of Elliptic Curves over Number Fields,
권오성,Ohsung Kwon,202203,한국공학대학교 경영학부,2008,,,,,,2019,,,LZbDK_EAAAAJ,https://kr.linkedin.com/in/ohsung-kwon-559199126,,
권오정,O-joung Kwon,202203,한양대학교 수학과,,2010,2015,엄상일,,206327,2015,193189,1052227,n_Y3RNMAAAAJ,http://ojkwon.com/,On the structural and algorithmic properties of linear rank-width,
김경수,Kyungsoo Kim,201303,경희대학교 응용수학과,1992,1996,2003,이성연,,41864,2003,,675764,Za6a-YUAAAAJ,https://khu.elsevierpure.com/en/persons/kyungsoo-kim,Stabilities and error estimates for finite element approximations,
김광연,Kwang-Yeon Kim,200803,강원대학교 수학과,1990,1994,2002,곽도영,,41851,2002,,668508,,https://math.kangwon.ac.kr/~kimky/,Mixed finite volume methods on quadrilateral grids for second-order elliptic problems,
김기현,Kihyun Kim,202408,서울대학교 수리과학부,2012,,2021,권순식,,294689,2021,320336,1339980,EBQoe6UAAAAJ,https://sites.google.com/view/kihyunkim,Blow-up dynamics for the self-dual Chern-Simons-Schrödinger equation
김대욱,Dae Wook Kim,202409,KAIST 뇌인지과학과,2012,,2021,김재경,,320408,2021,,946191,AfibYnMAAAAJ,https://sites.google.com/view/dae-wook-kim/home,Deterministic and stochastic mathematical modeling and analysis of cellular systems with time delay,
김도완,Do Wan Kim,201003,인하대학교 수학과,,1987,1994,김문언,,41770,1994,,365248,,https://math.inha.ac.kr/math/3523/subview.do,Minimum-drag shape in two-dimensional viscous flow,
김도윤,Doyoon Kim,,고려대학교 수학과,,1997,,,,,2005,100228,789267,hf50tA8AAAAJ,https://math.korea.ac.kr/math/mem/professor.do?mode=view&articleNo=538&article.offset=0&articleLimit=200,Partial Differential Equations in Sobolev Spaces With or Without Weights,
김도형,Do-Hyung Kim,,단국대학교 수학과,1990,1996,2005,임진환,,41879,2005,139413,782862,,https://cms.dankook.ac.kr/web/cons/-14?p_p_id=DeptInfo_WAR_empInfoportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-2&p_p_col_count=1&_DeptInfo_WAR_empInfoportlet_empId=HBhz/Sz6WU9/lfLUE0toaw==&_DeptInfo_WAR_empInfoportlet_action=view_message,Metric structure and causality of lorentzian manifold,
김동한,Dong Han Kim,,동국대학교 수학교육과,,1994,2002,최건호,,41846,2002,126688,630927,kXTh9oQAAAAJ,https://sites.google.com/site/drkimdh/,The first return time and entropy of Markov chains,
김동한,Donghan Kim,202408,KAIST 수리과학과,2006,,,,,,2020,262394,1379083,,https://sites.google.com/view/donghan-kim/home,,
김래영,Rae Young Kim,,영남대학교 수학과,1993,1997,2003,김홍오,,41866,2003,135016,682478,Zlbl4lcAAAAJ,https://math.yu.ac.kr/main/faculty/faculty-window.do?p_no=17815,On the relations between multiresolution analyses and wavelets,
김린기,Ringi Kim,202009,인하대학교 수학과,2003,2009,,,,,2016,243020,1153019,,https://sites.google.com/view/ringikim/home,On unavoidable graphs and tournaments,
김명근,Myung Geun Kim,,서원대학교 수학교육과 [명예교수],,1983,,,,,1991,255352,351134,,https://www.seowon.ac.kr/mathedu/3265/subview.do?enc=Zm5jdDF8QEB8JTJGcHJvZmwlMkZtYXRoZWR1JTJGMTElMkY0NzElMkZhcnRjbFZpZXcuZG8lM0ZzcmNoV3JkJTNEJTI2cGFnZSUzRDElMjZzcmNoQ29sdW1uJTNEJTI2,Models for the covariance matrices of several groups,
김미경,Meekyoung Kim,201903,대구대학교 컴퓨터정보공학부,,2008,,,,241758,2017,,,,https://www.linkedin.com/in/meekyoung-kim-a9404a33/,Physical layer modeling and parameter estimation for efficient human soft tissue animation,1
김민규,Min Kyu Kim,,경인교육대학교 수학교육과,1993,1997,2005,임진환,,41880,2005,,702382,,https://edu.ginue.ac.kr/mathematics/CMS/ProfessorMgr/list.do?mCode=MN016,Symmetries on symplectic manifolds,
김민기,Minki Kim,202202,GIST 수리과학과,2008,2012,2018,Andreas Holmsen,,264941,2018,,1183004,VHRW66MAAAAJ,https://sites.google.com/view/minkikim/home,On fractional Helly properties in graphs without large complete minors,
김바라,Bara Kim,,고려대학교 수학과,1989,1993,1999,최창선,최봉대,41815,1999,,654296,,https://mathematicians.korea.ac.kr/bara/,Feedback queue and semi-MMPP with applications to long range dependent traffic modeling,
김병두,Byoung Du Kim,,Victoria Univ. of Wellington 수학과  (뉴질랜드),1997,,,,,,2005,17072,805840,,https://homepages.ecs.vuw.ac.nz/~bdkim/,The Parity Conjecture and Algebraic Functional Equations for Elliptic Curves at Primes with Supersingular Reduction,
김보성,Bosung Kim,201903,경희대학교 경영학과,2004,,,,,,2017,,,yLXlcbkAAAAJ,https://sites.google.com/view/bosungkim,,
김선진,Seonjin Kim,201308,Miami University 통계학과 (미국),2002,,,,,,2013,,,,https://seonjinkim83.github.io/,,
김성수,Sung Soo Kim,199203,한양대학교 수리데이터사이언스학과,,1986,1991,권길헌,,41759,1991,88925,294313,,http://amath.hanyang.ac.kr/page/?pid=professor1,Study of ordinary differential equations in the space of hyperfunctions and its applications to orthogonal polynomials,
김성운,Sungwoon Kim,201509,제주대학교 수학과,1994,1998,2005,서동엽,,41885,2005,,982647,oG-Iq2UAAAAJ,http://newton.kias.re.kr/~sungwoon/,Divergent sequences of function groups,
김성원,Seongwon Kim,,Washington University of Virginia (미국),1987,,,,,,,,,,https://academics.wuv.edu/college-of-arts-and-science-faculty-information/,,
김성학,Seonghak Kim,201709,경북대학교 수학과,,2005,,,,,2015,202576,1093587,DKvRb7kAAAAJ,https://sites.google.com/site/seonghakkim15/,On the existence of Lipschitz solutions to some forward-backward parabolic equations,
김성호,Seongho Kim,201308,Wayne State University 약대 (미국),,1998,2005,김성호,,41881,2005,203613,900519,,https://oncology.med.wayne.edu/profile/fn4867,A theory and method for large recursive models with incomplete categorical data,
김세구,Se-Goo Kim,,경희대학교 수학과,1986,,,,,,2001,49594,610250,,https://khu.elsevierpure.com/en/persons/se-goo-kim,Polynomial Splittings of Casson-Gordon Invariants,
김세권,Se Kwon Kim,202006,KAIST 물리학과,1998,,,,,,2014,,,EcQJK3gAAAAJ,https://sites.google.com/site/sekwonkimphysics/members/pi,,
김세익,Seick Kim,200803,연세대학교 수학과,1991,,,,,,2003,77612,707903,t_nMZzEAAAAJ,https://sites.google.com/view/kimseick/home,On the Regularity of Solutions to Second-order Equations and Systems,
김연수,Yeansu Kim,201609,전남대학교 수학교육과,2000,,,,,,2013,202628,1094118,nAn381kAAAAJ,https://sites.google.com/view/yeansukim,L-functions from Langlands-Shahidi method for GSpin groups and the generic Arthur packet conjecture,
김영락,Yeongrak Kim,202103,부산대학교 수학과,2005,2008,2016,곽시종,,222190,2016,224570,1155792,,https://sites.google.com/view/yeongrak,Vector bundle techniques in the geometry of projective varieties,
김영수,Youngsoo Kim,202407,"Loyola University Chicago, Quinlan School of Business (미국)",2003,2007,,,,,,,,l4IaOn4AAAAJ,https://sites.google.com/site/ykimdec/home,,
김영수,Youngsu Kim,202008,CSU San Bernardino 수학과 (미국),2000,,,,,,2014,189982,989789,,https://youngsukim-csusb.github.io/,Quasi-Gorensteinnes of Extended Rees Algebras,
김영철,Yeong Cheol Kim,,목포대학교 수학교육과 [명예교수],,,1998,최봉대,,41799,1998,,364898,,https://mmed.mokpo.ac.kr/mmed/2740/subview.do,Priority queue and its applications to traffic control,
김영헌,Young-Heon Kim,200808,University of British Columbia 수학과 (캐나다),,1994,,,,,2005,90590,615856,uVNCjOEAAAAJ,https://personal.math.ubc.ca/~yhkim,Holomorphic Extensions of Laplacians and Their Determinants,
김유라,Yoora Kim,201309,울산대학교 데이터응용수학과,,2003,2009,황강욱,,41919,2009,,1133019,WW243yYAAAAJ,https://math.ulsan.ac.kr/math/1213,Opportunistic scheduling and cross-layer design exploiting multiuser diversity in wireless networks,
김장수,Jang Soo Kim,201403,성균관대학교 수학과,1999,2003,2009,김동수,,41912,2009,142087,806216,AlpgbIoAAAAJ,https://jangsookim.github.io/,Variations of the numbers of permutations and tableaux,
김재훈,Jae-Hoon Kim ,201907,부산외국어대학교 컴퓨터공학과,,1994,,,,,2003,,607871,,http://bufs.icts21.com/computer/index.php?pCode=MN400007&mode=view&idx=321,,
김재훈,Jaehoon Kim,201907,KAIST 수리과학과,2003,,,,,,2014,192901,973739,zSRI9I0AAAAJ,https://sites.google.com/view/jaehoon-kim,Extremal Problems Involving Forbidden Subgraphs,
김재형,Jaehyung Kim,202409,연세대학교 인공지능대학,2012,,,,,,2024,,,6OYOsGsAAAAJ,https://sites.google.com/view/jaehyungkim,,
김정현,Jeunghyun Kim,202203,고려대학교 경영대학,2002,,,,,,2016,,,Nq5_mL4AAAAJ,https://sites.google.com/site/jeunghyunkim/,,
김주리,Ju-Lee Kim,200708,MIT 수학과  (미국),1987,,,,,,1997,14937,653104,,https://math.mit.edu/directory/profile.html?pid=132,Hecke Algebras of Symplectic Groups over P-Adic Fields and Supercuspidal Representations,
김주명,Ju Myung Kim,201803,세종대학교 수학통계학과,,2000,2007,최창선,,41894,2007,110010,780140,,http://www.sejong.ac.kr/college/natural_01_12.html?menu_id=1.5,Weak approximation properties in banach spaces,
김준교,Jun-Kyo Kim,200504,부산대학교 수학과,,1989,1995,한상근,,41777,1995,137288,364173,,https://math.pusan.ac.kr/math/15567/subview.do?enc=Zm5jdDF8QEB8JTJGcG51UHJvZmwlMkZtYXRoJTJGNDElMkY0MDIxJTJGYXJ0Y2xWaWV3LmRvJTNGZmluZFR5cGUlM0QlMjZmaW5kV29yZCUzRCUyNnBhZ2UlM0QxJTI2,On partitions of bipartite numbers,
김준식,Juk Sik Kim,201502,인천대학교 무역학부,2003,,,,,,2014,,,,https://sites.google.com/site/junsici/,,
김지현,Ji Hyun Kim,201103,한남대학교 수학과,,2001,2009,곽도영,,41925,2009,,1123432,,https://my.hnu.kr/html/profDetail.html?param=899573,New mixed finite element for an elliptic problem on hexahedral grids,
김창완,Chang-Wan Kim,201303,목포해양대학교 교양과정부,1988,1992,2000,임진환,,41818,2000,,600569,,https://www.mmu.ac.kr/S5/usrPositionprofessor,Curvature and rigidity in metric spaces,
김창헌,Chang Heon Kim,,성균관대학교 수학과,1988,1992,1999,구자경,,41813,1999,179411,611615,,https://cscience.skku.edu/cscience/intro/faculty_math.do?mode=view&perId=LZStrB4egjg9gXgKgVpArAVxgSQLYGYQC1ECyATgQIIC85QA,Arithmetic of some modular functions,
김창호,Chang Ho Kim,199609,건국대학교 컴퓨터공학과,,1989,1995,최우진,,41776,1995,,629965,,http://www.kku.ac.kr/cop/telePhone/user/Execute.do?command=fixed&listType=newprofessor&siteId=wwwkr&teleIdx=14177&findType=fixed&findWord=363&id=wwwkr_140303020300,Spectral methods for the integrodifferential equation with a weakly singular kernel,
김태희,Taehee Kim,2006,건국대학교 수학과,1990,,,,,,2003,77951,743933,JwhtTugAAAAJ,https://sites.google.com/view/taehee-kim,Obstructions to Slicing and Doubly Slicing,
김필수,Philsu Kim,200502,경북대학교 수학과,,1992,2001,최우진,,41835,2001,156043,638726,1oHkWZQAAAAJ,https://dydgus1020.wixsite.com/philsukim,Study on the numerical method for solving singular integral equation,
김형기,Hyungki Kim,201809,전북대학교 컴퓨터공학부,2004,,,,,,2015,,,0Twj2DkAAAAJ,https://sites.google.com/site/diskhkme/,,
김형석,Hyoungseok B. Kim,199903,동의대학교 응용소프트웨어공학전공,,1990,1998,김홍오,신성용,41798,1998,,341493,,http://hyomin.deu.ac.kr/~hskim/,Collision detection using spherical voronoi diagrams,
김형태,Hyung Tae Kim,201708,CSU Fresno 회계학과 (미국),2000,,,,,,,,,G0lZEWEAAAAJ,https://www.researchgate.net/profile/Hyung-Tae-Kim-2,,
김혜진,Hyejin Kim,201408,"University of Michigan-Dearborn, Department of Mathematics and Statistics (미국)",,1999,,,,,2009,,870820,,https://umdearborn.edu/hyejin-kim,,
김혜현,Hyea Hyun Kim,201009,경희대학교 응용수학과,,1997,2004,이창옥,,41875,2004,95792,688661,,http://hhkim.khu.ac.kr/,Preconditioners for FETI-DP formulations with mortar methods,
김호현,Hohyun Kim,202203,한동대학교 경영경제학부,2006,,,,,,,,,S1EJSXEAAAAJ,http://pro.handong.edu/hhkim88/,,
김화길,Hwa Kil Kim,201803,한남대학교 수학교육과,,1997,,,,,2009,153687,934766,,https://my.hnu.kr/html/profDetail.html?param=1506530,Hamiltonian systems and the calculus of differential forms on the Wasserstein space,
김화성,Hwa-Sung Kim,,경희대학교 경영학과,,1996,,,,,,,,,https://sites.google.com/a/khu.ac.kr/fstar/,,
김훈,,,한국과학영재학교 수리정보과학부,1989,,,,,,,,,,,,1
남덕우,Dougu Nam,,UNIST 생명과학과,,1996,2002,최창선,,41855,2002,110013,688672,,https://sites.google.com/site/bigunist2/professor,Optimal estimation and numerical methods for conditional diffusion processes,
노금환,Kum-Hwan Roh,201209,한남대학교 수학과,,,2008,최우진,,41904,2008,156611,831603,,https://math.hannam.ac.kr/professor/,Valuing options under regime switching environment,
도현수,Hyun Soo Doh,202209,한양대학교 경영학부,1998,,,,,,2017,,,jQKF7oEAAAAJ,https://hsdoh.com/,,
라준현,Joonhyun La,202409,고등과학원 수학부,2008,,,,,,2019,,1137022,m4Tdei8AAAAJ,https://sites.google.com/view/joonhyunla/home,,
류재칠,Jaechil Yoo,,동의대학교 기초과학교양학부,,1985,,,,,1996,11588,664849,,https://liberal.deu.ac.kr/liberal/471/subview.do,Numerical Solvers for the Galerkin Least Square Methods,
류제경,Je-Kyung Ryu,202203,서울대학교 물리천문학부,2002,,,,,,2014,,,rWHj3h8AAAAJ,https://jekyungryu.kr/members,,
명성,Sung Myung,200609,인하대학교 수학교육과,1988,,,,,,2002,58852,774641,,https://mathed.inha.ac.kr/mathed/4166/subview.do?enc=Zm5jdDF8QEB8JTJGZGVwYXJ0bWVudEludHJvJTJGbWF0aGVkJTJGMTE0NyUyRjExNjElMkZjb2xsZWdlUHJvZlZpZXcuZG8lM0ZzaXRlSWQlM0RtYXRoZWQlMjZpbmhhaWQlM0Q0RDIyQUI2Q0M2MDVGN0FDQ0YwOEY3MDdEMjE1OEI3MjRFOEE1NkFDMkIyNjkzM0YwNkNCQjNEMzNFMzk0Mzk1RjVCOUIzMzA0ODA2MDk5NDUyRDkzODk3MTdENTQ5MjAzNkVBQTQ1NTBFQkI5OTg1N0E4MDE0NTZDODZCQzJBRSUyNg==,Motivic Polylogarithms for the Goodwillie-Lichtenbaum Complex,
문지환,Jihwan Moon,201708,"University of New South Wales, School of Marketing (호주)",2001,,,,,,,,,uuGp23MAAAAJ,https://www.unsw.edu.au/staff/jihwan-moon,A Computational Framework Tracking a Moving Interface in Arbitrary Dimension and Codimension,
문하은,Haeun Moon,202409,서울대학교 첨단융합학부 및 통계학과,2008,,,,,,2022,,,8fr3k7YAAAAJ,https://sites.google.com/view/haeunmoon,,
민조홍,Chohong Min,201003,이화여자대학교 수학과,1990,,,,,,2004,17047,732844,g-sNjLIAAAAJ,http://math.ewha.ac.kr/~chohong/,A Computational Framework Tracking a Moving Interface in Arbitrary Dimension and Codimension,
박대희,Dae Heui Park,,전남대학교 수학과,,1991,2001,서동엽,,197750,2001,73432,619303,,https://math.jnu.ac.kr/math/16621/subview.do?enc=Zm5jdDF8QEB8JTJGcHJvZiUyRm1hdGglMkYzODglMkY4MjAlMkZ2aWV3LmRvJTNG,Topological properties of semialgebraic G-Sets,
박상현,Sang-Hyun Park,201208,"Augusta University, James M. Hull College of Business (미국)",2001,,,,,,2012,,,,https://www.augusta.edu/faculty/directory/view.php?id=SAPARK,,
박석봉,Suk Bong Park,,육군사관학교 수학과 [명예교수],,,1996,권길헌,,41783,1996,,618289,,,Semi-classical and discrete orthogonal polynomials,
박선정,Seonjeong Park,202103,전주대학교 수학교육과,,2005,2011,서동엽,,41952,2011,198502,984599,gZsv5kEAAAAJ,https://sites.google.com/site/seonjeong1124/,Topological classification of quasitoric manifolds,
박선철,Seoncheol Park,202303,한양대학교 수학과,2008,,,,,,2019,,,,https://seoncheolpark.github.io,,
박성혁,Sunghyuk Park,201909,KAIST 경영공학부,2001,,,,,,2011,,,_B36WMgAAAAJ,https://www.business.kaist.ac.kr/faculty/heypark,,
박영용,Yeongyong Park,,목포대학교 수학교육과,,1985,1992,김홍오,,41751,1992,,,,https://mmed.mokpo.ac.kr/mmed/2739/subview.do,Maximal functions and their applications,
박영희,Young Hee Park,,청주교육대학교 수학교육과,,1990,1996,김병천,,41780,1996,,358131,,https://www.cje.ac.kr/web/major.do?major=maths&menu_cd=000017,Local influence in testing some hypotheses about covariance matrices,
박윤경,Yoon Kyung Park,201908,서울과학기술대학교 기초교육학부,,2001,2008,구자경,,41906,2008,179415,836403,,https://liberal.seoultech.ac.kr/prof_intro/prof/?togo=list&menu=4328&profidx=02574,Arithmetic of Ramanujan's continued fractions and Hypergeometric series,
박윤범,Yunbeom Park,,서원대학교 수학교육과 [명예교수],,1986,1994,최우진,,41769,1994,,358868,,https://www.seowon.ac.kr/mathedu/3265/subview.do?enc=Zm5jdDF8QEB8JTJGcHJvZmwlMkZtYXRoZWR1JTJGMTElMkY0NzIlMkZhcnRjbFZpZXcuZG8lM0ZzcmNoV3JkJTNEJTI2cGFnZSUzRDElMjZzcmNoQ29sdW1uJTNEJTI2,Degree reduction of Bézier curves and its error analysis,
박윤서,Yoon Seo Park,200203,전북대학교 경영학과,1989,,,,,,2000,,,,https://business.jbnu.ac.kr/business/10553/subview.do?enc=Zm5jdDF8QEB8JTJGamJudVByb2ZsJTJGYnVzaW5lc3MlMkYyMjQlMkYxNTI4JTJGYXJ0Y2xWaWV3LmRvJTNGcGFnZSUzRDElMjZmaW5kVHlwZSUzRCUyNmZpbmRXb3JkJTNEJTI2,,
박은희,Eun-Hee Park,201403,강원대학교 AI소프트웨어학과,,2001,2009,이창옥,,41909,2009,144929,863657,,https://cms.kangwon.ac.kr/aisw/professor/professor.do?mode=view&key=$cms$IwisBYg,A dual iterative substructuring method with a penalty term,
박의성,Euisung Park,,고려대학교 수학과,,1998,2004,곽시종,,,2004,107548,760202,,https://math.korea.edu/math_en/people/faculty.do?mode=view&articleNo=73470&article.offset=0&articleLimit=200,On Higher Syzygies of Complete and Noncomplete Embedding of Projective Algebraic Varieties,
